internal_id,variant_1,variant_2,file_name,unique_entry_id,item_name,variation,body_title,version,diy,body_customize,catalog,outdoor,pattern_customize,hha_series,hha_set,source_source_id
383,0,0,FtrAcorsticguitar_Remake_0_0,EpywQXABBcv2dipsP,acoustic guitar,Natural,Body,1.0.0,1,1,0,0,0,,,4
383,1,0,FtrAcorsticguitar_Remake_1_0,K9she5Y4SuXA8MGBR,acoustic guitar,Cherry,Body,1.0.0,1,1,0,0,0,,,4
383,2,0,FtrAcorsticguitar_Remake_2_0,vLq9iphAvALBXazDr,acoustic guitar,Brown,Body,1.0.0,1,1,0,0,0,,,4
383,3,0,FtrAcorsticguitar_Remake_3_0,nuqeFzNE5PneqGHaj,acoustic guitar,Blue,Body,1.0.0,1,1,0,0,0,,,4
383,4,0,FtrAcorsticguitar_Remake_4_0,DotFsojrhCwrLZ3TF,acoustic guitar,White,Body,1.0.0,1,1,0,0,0,,,4
383,5,0,FtrAcorsticguitar_Remake_5_0,RuRMFyvWnDC2SoG8m,acoustic guitar,Black,Body,1.0.0,1,1,0,0,0,,,4
383,6,0,FtrAcorsticguitar_Remake_6_0,NWv9CJfSPtBTKoL4B,acoustic guitar,Pink,Body,1.0.0,1,1,0,0,0,,,4
3821,0,0,FtrCirculator_Remake_0_0,J4inuBziPCSGZNEPM,air circulator,White,,1.0.0,0,0,1,1,0,,,11
3821,1,0,FtrCirculator_Remake_1_0,E2dZPSD94isFZWd2F,air circulator,Black,,1.0.0,0,0,1,1,0,,,11
3821,2,0,FtrCirculator_Remake_2_0,uAY6FFGdXWeAG9gMa,air circulator,Pink,,1.0.0,0,0,1,1,0,,,11
3821,3,0,FtrCirculator_Remake_3_0,bGCQ9bA27ftHoLoKb,air circulator,Green,,1.0.0,0,0,1,1,0,,,11
3821,4,0,FtrCirculator_Remake_4_0,5pBqNZaZWveKR6K5s,air circulator,Yellow,,1.0.0,0,0,1,1,0,,,11
846,0,0,FtrAltosax,yAj7DyFRDjWbh7qYP,alto saxophone,,,1.0.0,0,0,1,0,0,,,13
1317,0,0,FtrAnatomicalmodel,t2LzAKDofAZYyqZ6r,anatomical model,,,1.0.0,0,0,1,0,0,,,11
7238,0,0,FtrShipanchor_Remake_0_0,zgw6WaZRQgrpQ5FTC,anchor statue,Black,Color,1.0.0,0,1,0,1,0,,,5
7238,1,0,FtrShipanchor_Remake_1_0,hdZokWHmfoFTt2FjM,anchor statue,Silver,Color,1.0.0,0,1,0,1,0,,,5
7238,2,0,FtrShipanchor_Remake_2_0,NNfoBT2rgDcmG5HhD,anchor statue,Gold,Color,1.0.0,0,1,0,1,0,,,5
7238,3,0,FtrShipanchor_Remake_3_0,ZWyY2rRANgXoGcDha,anchor statue,White,Color,1.0.0,0,1,0,1,0,,,5
7238,4,0,FtrShipanchor_Remake_4_0,vRhn2x3vj2mii4AKH,anchor statue,Blue,Color,1.0.0,0,1,0,1,0,,,5
7238,5,0,FtrShipanchor_Remake_5_0,6wyLNus8QqXkbBu72,anchor statue,Retro,Color,1.0.0,0,1,0,1,0,,,5
7867,0,0,FtrSignpostTilt_Remake_0_0,kzirasu23o7Xwz8Cg,angled signpost,Home,Navigation,1.0.0,1,1,0,1,0,,,4
7867,1,0,FtrSignpostTilt_Remake_1_0,8MxLKTxpMDwarBE2M,angled signpost,Forest,Navigation,1.0.0,1,1,0,1,0,,,4
7867,2,0,FtrSignpostTilt_Remake_2_0,uvn5kiMi84NMuesmb,angled signpost,Fishing Spot,Navigation,1.0.0,1,1,0,1,0,,,4
7867,3,0,FtrSignpostTilt_Remake_3_0,D2bHBoj8ZotiBiahp,angled signpost,Resident Services,Navigation,1.0.0,1,1,0,1,0,,,4
7867,4,0,FtrSignpostTilt_Remake_4_0,BGaTv6ghfWHQohYJz,angled signpost,Airport,Navigation,1.0.0,1,1,0,1,0,,,4
7867,5,0,FtrSignpostTilt_Remake_5_0,QNTrffSxKbCJH3C2s,angled signpost,Shop,Navigation,1.0.0,1,1,0,1,0,,,4
7867,6,0,FtrSignpostTilt_Remake_6_0,TW9n423omNZDjZ9hp,angled signpost,Tailors,Navigation,1.0.0,1,1,0,1,0,,,4
7867,7,0,FtrSignpostTilt_Remake_7_0,wPX6wELbCn9Jyb37A,angled signpost,Museum,Navigation,1.0.0,1,1,0,1,0,,,4
3957,0,0,FtrAntiqueBedW_Remake_0_0,c7rQKnQBvtMCpGNhr,antique bed,Brown,,1.0.0,0,0,1,0,0,antique,,12
3957,1,0,FtrAntiqueBedW_Remake_1_0,gMCFieFjJLX4yXBPJ,antique bed,Natural,,1.0.0,0,0,1,0,0,antique,,12
3957,2,0,FtrAntiqueBedW_Remake_2_0,s5ZQQKh3XYcue8R6S,antique bed,Black,,1.0.0,0,0,1,0,0,antique,,12
3956,0,0,FtrAntiqueBureau_Remake_0_0,eqP7Ro4PzjhZFGMaX,antique bureau,Brown,,1.0.0,0,0,1,0,0,antique,,12
3956,1,0,FtrAntiqueBureau_Remake_1_0,PwbzwqaKiZ7CPKgh6,antique bureau,Natural,,1.0.0,0,0,1,0,0,antique,,12
3956,2,0,FtrAntiqueBureau_Remake_2_0,nTM9BgbxMArEAuPda,antique bureau,Black,,1.0.0,0,0,1,0,0,antique,,12
3950,0,0,FtrAntiqueChairS_Remake_0_0,gzBvzGmkCqvaa4dfg,antique chair,Brown,,1.0.0,0,0,1,0,0,antique,,12
3950,1,0,FtrAntiqueChairS_Remake_1_0,d4oC34hgWHdZAv8dT,antique chair,Natural,,1.0.0,0,0,1,0,0,antique,,12
3950,2,0,FtrAntiqueChairS_Remake_2_0,eCZttstT4S3Tr4ZSj,antique chair,Black,,1.0.0,0,0,1,0,0,antique,,12
3954,0,0,FtrAntiqueClock_Remake_0_0,54WzSWz3bv4j4279w,antique clock,Brown,,1.0.0,0,0,1,0,0,antique,,12
3954,1,0,FtrAntiqueClock_Remake_1_0,aPDaateHnZ2K7rnCX,antique clock,Natural,,1.0.0,0,0,1,0,0,antique,,12
3954,2,0,FtrAntiqueClock_Remake_2_0,prDor5kTcy7ahzz5c,antique clock,Black,,1.0.0,0,0,1,0,0,antique,,12
3951,0,0,FtrAntiqueConsole_Remake_0_0,kKSfnnXLBk2BMbWEo,antique console table,Brown,,1.0.0,0,0,1,0,0,antique,,12
3951,1,0,FtrAntiqueConsole_Remake_1_0,SBphLepffHinkmtPf,antique console table,Natural,,1.0.0,0,0,1,0,0,antique,,12
3951,2,0,FtrAntiqueConsole_Remake_2_0,7i4eJMFhi2gzqMEZ8,antique console table,Black,,1.0.0,0,0,1,0,0,antique,,12
